V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
2,30,15,-89,-89,-89,50,40,30,-89,40,60,2,99,-1,6,6,2,3,99,3,2,40,22,50,50,40,60,30,50,50
4,70,30,-88,-89,-88,-88,100,85,-89,70,15,0,2,70,4,1,5,1,4,4,1,-1,12,50,85,100,60,85,40,70
3,70,15,-89,-89,70,30,85,85,-89,70,15,1,2,-1,4,4,3,3,4,3,2,-1,12,60,70,60,60,30,40,40
1,0,100,50,-89,15,100,0,60,50,30,40,0,4,50,4,6,4,3,5,6,4,41,20,40,40,40,70,50,70,70
4,40,70,-89,60,-89,60,70,40,-89,60,60,3,4,-1,4,4,2,3,2,6,2,35,10,50,30,70,85,40,60,50
2,40,60,-89,-89,0,70,100,85,-89,70,15,1,4,-1,6,2,4,1,6,7,4,40,15,60,70,60,70,15,40,70
3,15,70,50,-89,-89,50,40,50,-89,40,40,4,4,40,3,5,7,3,6,5,4,-1,-9,30,30,70,50,15,7,50
1,0,60,0,0,0,50,15,0,0,0,15,0,6,40,3,5,5,3,6,6,3,35,19,85,15,0,85,60,85,70
2,85,15,70,-89,85,60,100,60,-89,70,50,1,2,-1,5,4,5,1,3,2,5,25,20,70,70,100,85,40,50,50
2,70,0,40,-89,-89,0,85,40,-89,90,0,0,1,-1,6,3,1,1,1,1,1,38,8,100,100,85,85,30,30,60
1,0,100,70,40,60,40,0,0,30,0,70,1,99,10,1,7,99,3,99,99,3,-1,7,-6,-6,-6,-6,-6,-6,-6
2,60,0,30,40,40,30,85,50,-89,40,40,2,2,-1,5,3,2,3,1,2,2,4,19,70,70,50,100,40,60,40
4,85,50,-89,-89,60,-89,85,85,-89,70,50,5,6,90,4,5,5,1,4,5,3,50,17,60,999,85,0,60,50,70
1,0,0,70,60,-88,-88,30,15,-89,40,60,4,6,-1,4,5,5,3,5,5,4,-1,22,60,70,60,70,60,70,70
3,50,70,-88,50,50,50,50,15,-89,50,50,0,99,45,5,7,4,3,5,7,3,-1,7,50,50,30,50,30,50,0
2,0,70,0,0,0,85,0,0,0,30,50,0,5,50,3,5,6,3,4,6,6,40,-9,50,40,50,100,70,85,50
2,60,15,70,-89,-89,-89,70,60,-89,60,40,0,4,-1,5,4,3,1,3,2,3,50,21,50,60,60,80,50,80,70
1,0,85,0,-89,15,85,0,0,-89,0,85,1,4,-1,2,7,7,3,6,6,7,-1,23,-6,-6,-6,-6,-6,-6,-6
2,70,0,-89,-89,60,30,50,60,60,70,0,2,4,-1,99,99,4,1,4,99,99,-1,9,30,50,60,60,40,40,30
2,0,70,-88,40,0,100,0,30,5,15,60,3,5,53,4,5,6,3,5,5,4,50,25,15,0,40,50,30,60,50
3,15,70,70,50,60,60,0,15,-89,0,70,0,99,-1,6,4,3,1,3,7,1,30,12,50,40,70,50,60,60,60
3,0,0,-89,-89,-89,15,15,15,-89,50,50,2,99,-1,5,6,4,3,3,4,5,40,3,50,15,60,70,40,15,70
4,70,0,50,85,70,50,85,70,-89,70,15,3,2,60,6,4,2,1,3,3,1,30,28,85,85,70,85,60,60,70
4,85,0,-89,-89,85,30,100,85,-89,85,0,0,99,-1,99,6,2,2,2,7,1,40,14,60,60,50,70,50,60,40
4,15,85,-89,-89,-89,70,0,15,-89,50,70,0,6,40,2,6,6,2,6,6,6,-1,13,30,15,15,70,60,70,70
1,40,1,-88,-88,-88,50,70,85,-88,85,50,2,4,-1,5,3,7,1,1,7,1,50,17,-6,-6,-6,-6,-6,-6,-6
2,100,50,-89,-89,-89,-89,100,70,-89,100,70,3,4,-1,1,2,3,3,3,1,2,-1,2,70,70,85,100,85,85,85
4,40,70,-89,-89,-89,-89,20,50,-89,70,70,3,99,20,4,1,4,3,99,7,2,40,21,-6,-6,-6,-6,-6,-6,-6
4,60,50,40,99,40,60,70,60,-89,60,50,1,3,53,5,3,3,1,5,5,2,40,16,60,60,70,50,30,50,50
4,40,50,60,-89,50,-89,60,60,-89,50,50,1,99,60,7,99,7,2,-8,1,7,40,11,50,60,85,70,50,70,50
2,40,60,50,50,60,70,85,70,40,40,40,4,3,43,5,6,2,1,6,6,5,60,22,40,60,60,100,70,40,30
3,15,40,60,-88,15,85,40,40,50,15,40,3,4,50,3,5,4,1,5,4,1,-1,27,70,40,50,50,40,50,50
4,60,30,60,-89,-89,-89,85,30,-89,85,60,3,99,-8,5,5,7,1,-8,1,99,-1,13,85,50,85,100,50,70,50
2,100,0,-89,-89,-89,-89,70,60,-89,100,0,0,4,-1,5,6,4,3,2,5,3,48,9,50,50,60,85,70,70,50
4,5,0,-89,-88,-89,-89,100,100,-89,85,60,2,5,-1,1,1,7,1,99,7,1,-1,5,100,100,85,100,100,100,70
4,100,15,85,-89,-88,-88,100,100,-89,85,40,2,99,-1,2,3,4,1,1,4,2,40,1,-6,-6,-6,-6,-6,-6,-6
3,50,100,40,35,35,50,30,40,30,30,100,1,4,-8,99,6,99,3,5,99,99,-1,1,50,15,100,70,70,30,50
1,0,70,60,50,50,85,15,30,-89,30,60,2,6,-1,2,5,5,3,7,5,4,40,18,60,60,55,85,70,75,65
4,0,70,50,-89,50,60,100,50,-89,0,100,2,99,-1,6,6,1,1,1,1,1,-1,1,-6,-6,-6,-6,-6,-6,-6
3,14,35,70,50,-89,45,52,41,-89,15,49,0,6,55,2,4,5,3,5,5,5,20,3,30,30,30,40,60,70,40
2,0,0,15,50,50,50,0,15,30,0,30,0,6,-1,3,7,5,2,6,3,5,-1,18,50,15,40,50,60,85,50
2,70,15,50,85,50,30,85,60,-89,70,15,0,2,-1,6,2,1,1,3,1,1,40,11,70,85,70,70,30,30,40
4,30,40,60,-89,60,-89,15,40,-89,70,60,0,4,40,99,4,5,3,6,99,5,70,14,60,60,60,70,85,70,50
5,30,0,-89,-89,-89,-89,50,30,-89,50,50,0,4,-1,4,5,4,3,4,7,1,35,3,30,50,50,50,60,50,30
3,70,0,60,60,-89,-89,70,70,-89,40,15,0,99,70,4,5,4,3,6,6,3,-1,7,40,40,50,70,50,30,85
5,70,30,-89,-89,-89,-89,60,50,-89,40,50,6,3,40,99,99,3,1,99,99,99,-1,8,50,50,50,0,60,60,50
4,70,15,50,60,-89,30,85,70,-89,85,30,2,3,-1,5,3,2,1,2,3,2,55,23,85,85,60,60,15,15,40
3,15,85,-89,70,15,70,30,0,-89,70,70,2,99,45,4,6,5,3,6,5,1,50,25,-6,-6,-6,-6,-6,-6,-6
1,25,75,40,-89,25,75,0,40,-89,0,75,0,7,-8,7,7,6,3,5,5,6,16,7,40,0,40,85,60,100,60
